question,predict_answer,accurate_answer
who did kurt warner play 4?,St. Louis Rams,St. Louis Rams
who is dirk nowitzki wife?,Jessica Olsson,Jessica Olsson
who financed sir francis drake?,francis drake commissioned by queen elizabeth i of england,francis drake commissioned by queen elizabeth i of england
what did the ancient mayans predict?,The End Of Time,The Hero Twins
where is spanish spoken most?,Honduras,Spain
who does myles kennedy sing for?,Alter Bridge,Alter Bridge
where all did picasso live?,Málaga,Málaga
what currency shall i take to croatia?,Croatian kuna,Croatian dinar
what team is raul ibanez on?,Seattle Mariners,Seattle Mariners
what are the beliefs of the roman catholic?,Catholicism,Jesus Christ
what tv series did mark harmon star in?,NCIS,NCIS
what year did jimmy the rev sullivan die?,1999,1999
who plays anakin skywalker in star wars 1?,David Prowse,Jake Lloyd
where does michelle pfeiffer live now?,Orange County,Orange County
what was laura ingalls wilder famous for?,Writer,Writer
what is tatu baby's real name?,Yulia Volkova,Yulia Volkova
which country did nike originate from?,Converse,United States of America
where is dwight howard now?,Atlanta,Los Angeles Lakers
who is nick lachey married to?,Vanessa Minnillo,Vanessa Minnillo
where did madonna grew up?,Bay City,Bay City
what capital city of brazil?,Brasília,Brasília
what college did john stockton go to?,Gonzaga University,Gonzaga University
what kind of currency does mexico use?,Mexican peso,United States dollar
who owns chrysler corporation 2011?,Steven J. Harris,Chrysler Group LLC
what are some books that mark twain wrote?,Tom Sawyer Abroad,Tom Sawyer Abroad
what was gregor mendel contribution?,Scientist,Mendelian inheritance
who has ray allen dated?,Shannon Walker Williams,Shannon Walker Williams
who is running for vice president with barack obama 2012?,Joe Biden,Joe Biden
what language do people from the uk speak?,Scottish Gaelic language,Scottish Gaelic language
what to do with my kids in toronto?,Edwards Gardens,Edwards Gardens
what kind of government is south korea?,Constitutional republic,Sovereign state
what channel saints game?,Australian rules football,Australian rules football
who did ben franklin marry?,Deborah Read,Deborah Read
what sri lanka capital?,Sri Jayawardenapura Kotte,Sri Jayawardenapura Kotte
where was the assyrian homeland?,Middle East,Middle East
what kind of government does poland have?,Parliamentary republic,Parliamentary republic
what famous people came from delaware?,West Branch Delaware River,Ruth Ann Minner
when did romney become governor?,Governor of Massachusetts,1/2/2003
what currency does cyprus use?,Euro,Euro
who was with president lincoln when he was assassinated?,Nancy Lincoln,Ford's Theatre
what type of guitar does johnny depp play?,Gibson's,Gibson's
where to stay in singapore blog?,"Central Region, Singapore","Central Region, Singapore"
what episode of how i met your mother is carrie underwood on?,Hooked,Hooked
who are the 9 justices of the supreme court 2011?,John Roberts,John Roberts
who is dustin johnson the golfer?,Golfer,Golfer
who did cher have a son with?,Elijah Blue Allman,Sonny
what city is the university of oregon state in?,Oregon,Eugene
who played carmen cortez in spy kids?,Alexa Vega,Alexa Vega
what is the political system in germany?,Constitutional republic,Constitutional republic
what prompted shakespeare to write poetry?,Thomas More,Thomas More
what is the currency in turkey called?,Turkish lira,Turkish lira
what school did mark zuckerberg attend?,Phillips Exeter Academy,Mercy College
where does kate middleton live 2012?,Reading,Reading
what type of art does marc chagall do?,Surrealism,Surrealism
what character did billy d williams play in star wars?,Lando Calrissian,Lando Calrissian
what language is spoken in argentina?,Spanish Language,Spanish Language
who won the american league east in 2012?,New York Yankees,New York Yankees
what did isaac newton explain?,He assumed that the rate of fall is proportional to the force of gravity and that this force is inversely proportional to the square of the distance from the center of the Earth.,Newton fractal
what school did wilfred owen go to?,University of London,University of London
who is kevin jonas married to?,Danielle Deleasa,Danielle Deleasa
where does airtran airways fly?,LaGuardia Airport,LaGuardia Airport
where does the city of paris get its name?,Stade de France,Parisii
what to see in montreal downtown?,Casino de Montréal,Casino de Montréal
what was lil wayne's first hit song?,Go DJ,Go DJ
who did sandra bullock marry?,Jesse James,Jesse James
where is olympic national park located?,Washington,Washington
where is the un based?,New York City,New York City
what city and state is yale located in?,Connecticut,Connecticut
where did thomas paine die?,New York City,New York City
where was barack hussein obama sr born?,Honolulu,Honolulu
what do they do in cuba for fun?,¡Cuba! Art and History from 1868 to Today,¡Cuba! Art and History from 1868 to Today
where is the home stadium of the new england patriots?,North American Eastern Time Zone,uk
who was kate chopin?,Writer,Writer
when did bill clinton go to college?,Hot Springs High School,"University College, Oxford"
who helped eminem started his career?,"Marshall Bruce Mathers, Jr.",Dr. Dre
what are staffordshire terriers?,Dog,Dog
what to do with kids in summer in dubai?,Mushrif Park,Mushrif Park
what victory was andrew jackson most famous for?,3/4/1829,Battle of Horseshoe Bend
what to do downtown sacramento?,Sacramento Zoo,Zac Hill
what makes the film so popular back in london?,Brenda Song,Cambridge
who is michael j fox parents?,Phyllis Piper,Phyllis Piper
where did sanjay gupta go to school?,University of Michigan,University of Michigan
what team did brandon roy go to?,Point guard,Minnesota Timberwolves
what countries are involved in the nafta?,Canada,Canada
what continent is cayman islands located?,North America,North America
what language speak in brazil?,Brazilian Portuguese,Brazilian Portuguese
what disease did anne frank die of?,Typhus,Typhus
who does kroy biermann play football for?,Atlanta Falcons,Atlanta Falcons
when is the last time the pittsburgh steelers won a superbowl?,Super Bowl IX,Super Bowl XLIII
who invented islamic religion?,Muslims,Muhammad
who were we fighting in the gulf war?,Saudi Arabia,Iraq
how many languages do they speak in switzerland?,Romansh language,Romansh language
what political party does barack obama represent?,Democratic Party,Democratic Party
what movies does logan lerman play in?,The Only Living Boy in New York,The Only Living Boy in New York
where did emperor constantine die?,Constantinople,Constantinople
who plays ponyboy in that was then this is now?,Pony Boy,Pony Boy
where is mali located?,Africa,Africa
where to go in ibiza for families?,Valencia,Valencia
what planet did luke skywalker came from?,Polis Massa,Polis Massa
who are the coaches for the oakland raiders?,Dennis Allen,Dennis Allen
where was the first microsoft headquarters located?,Redmond,Redmond
where did john steinbeck go to college?,Stanford University,Stanford University
what did niels bohr discover about the atomic structure?,Bohr began to develop a model of the atom in which electrons were disposed in rings around the nucleus -- a first step towards an explanation of atomic structure.,Bohr began to develop a model of the atom in which electrons were disposed in rings around the nucleus -- a first step towards an explanation of atomic structure.
what books did louis sachar wrote?,Sixth Grade Secrets,Sixth Grade Secrets
who is ryan reynolds married to 2012?,Blake Lively,Blake Lively
what is newt gingrich's wife's name?,Callista Gingrich,Callista Gingrich
what type of music did antonio vivaldi play?,Baroque music,Baroque music
what school does james franco go to?,Columbia University School of the Arts,Yale University
what is samuel langhorne clemens well known for?,Lecturer,Lecturer
who was president after william henry harrison?,John Tyler,John Tyler
who is jake gyllenhaal married to?,Kirsten Dunst,Kirsten Dunst
where did rick santorum attend high school?,Carmel High School,Carmel High School
what is the title of george bush's new book?,George W. Bush 2001 presidential inauguration,National Strategy for Homeland Security
where did antoine lavoisier die?,Place de la Concorde,Place de la Concorde
what season did lana lang leave smallville?,Smallville - Season 8,Smallville - Season 8
what is the name of king george vi wife?,Queen Elizabeth The Queen Mother,Queen Elizabeth The Queen Mother
what year did seattle seahawks go to the super bowl?,2006 NFL season,2005 NFL season
who did richard nixon run against?,Henry Kissinger,richard milhous nixon lost election to john fitzgerald kennedy
where does sami yusuf live?,United Kingdom,United Kingdom
what is the official language of brazil now?,Brazilian Portuguese,Portuguese Language
what is the parliament of nepal called?,Parliament of Nepal,Parliament of Nepal
when's the last time the mets won the world series?,1969 World Series,1986 World Series
where do florida panthers play?,BB&T Center,BB&T Center
who is john cena married to?,Elizabeth Huberdeau,Elizabeth Huberdeau
what to do san jose ca?,San Jose Municipal Rose Garden,San Jose Municipal Rose Garden
who founded new york university?,Albert Gallatin,Albert Gallatin
who created arthur?,WGBH,WGBH
what countries constitute the eu?,Czech Republic,Czech Republic
what are all the countries in north africa?,Sus al-Aksa,Sus al-Aksa
what did bobby darin die of?,Surgical complications,Surgical complications
where does houston dynamo play?,Houston,Houston
what kind of guitar john mayer?,Fender Stratocaster,Fender Stratocaster
what cancer did patrick swayze?,Pancreatic cancer,Pancreatic cancer
what university did obama graduated from?,Political Science,Columbia University
what jamaican money called?,Jamaican dollar,United States dollar
where is the arizona cardinals stadium located?,University of Phoenix Stadium,Glendale
what is sir isaac newton theory?,He assumed that the rate of fall is proportional to the force of gravity and that this force is inversely proportional to the square of the distance from the center of the Earth.,Newton's laws of motion
what should i do today in san francisco?,Fisherman's Wharf,Golden Gate Park
who influenced picasso art?,Édouard Manet,Édouard Manet
what is my timezone in pennsylvania?,UTC-5,UTC-5
what products and\/or services does google offer customers?,Google Maps,Google Maps
when does the wsop main event start?,1971 World Series of Poker,1971 World Series of Poker
who did cliff lee play for last year?,Philadelphia Phillies,Philadelphia Phillies
who played elaine the pain?,Julia Louis-Dreyfus,Julia Louis-Dreyfus
who killed martin luther king jr video?,Civil rights movement,Assassination by firearm
what type of democracy is the united states?,Presidential system,Federal republic
when was the last time the toronto maple leafs made the playoffs?,1967 Stanley Cup Finals,1949 Stanley Cup Finals
what time in china hong kong?,UTC+8,UTC+8
what all movies has taylor lautner been in?,New Moon,New Moon
what disease did bernie mac die of?,Pneumonia,Pneumonia
who plays spike spiegel?,Steven Blum,Steven Blum
who was queen isabella's mother?,"Maria of Aragon, Queen of Portugal","Maria of Aragon, Queen of Portugal"
who does chris hemsworth have a baby with?,Elsa Pataky,Elsa Pataky
who was france allied with in ww2?,Battle of Landshut,Allies of World War II
where is the mts iceplex in winnipeg?,Canada,Canada
what are the most popular religions in israel?,Judaism,Judaism
what was obama's former occupation?,University of Chicago,Illinois State Senator
what are all the songs justin bieber wrote?,Catching Feelings,Catching Feelings
where is the thames river source?,London,Thames Head
where did buster posey go to high school?,Leesburg,Leesburg
what new movies is robert pattinson in?,Eclipse,Eclipse
what language do they use in pakistan?,English Language,Seraiki Language
what kind of products does nike sell?,Athletic Shoes & Apparel,Athletic Shoes & Apparel
who did lbj marry?,Lady Bird Johnson,Lady Bird Johnson
where did kim jong il die?,Pyongyang,Pyongyang
what honor did agatha christie receive in 1971?,Crime writer,Dame Commander of the Order of the British Empire
who ran against bill clinton in the presidential election?,Al Gore,George Bush
where are kohler sinks manufactured?,Kohler,Kohler
what is the sacred text of daoism?,Tao Te Ching,Tao Te Ching
what countries speak english natively?,Canada,Canada
what did thomas hobbes do?,Political philosophy,Political philosophy
what counties in florida have the lowest property taxes?,North American Eastern Time Zone,Xanth
who won fedex cup 2012?,Brandt Snedeker,Brandt Snedeker
what language is mainly spoken in egypt?,Arabic Language,Arabic Language
who played alf on tv show?,Paul Fusco,Paul Fusco
who was gerald ford vp?,Nelson Rockefeller,Nelson Rockefeller
what is armenian currency?,Armenian dram,Armenian dram
what type of art did raphael sanzio create?,Painting,Painting
what language do they speak in malta?,Maltese Language,Maltese Language
what religion was king louis xiv?,Catholicism,Catholicism
what football team does mike wright play for?,New England Patriots,New England Patriots
what did shannon hoon die from?,Drug overdose,Drug overdose
what did nicholas copernicus discover?,"He discovered that other ancient Greeks had suggested the idea of a heliocentric universe, and this seemed better seemed even though it still needed complex mathematical calculations to predict planetary movement.","He discovered that other ancient Greeks had suggested the idea of a heliocentric universe, and this seemed better seemed even though it still needed complex mathematical calculations to predict planetary movement."
what teams has manny ramirez played for?,Boston Red Sox,Boston Red Sox
where do the appalachian mountains run?,Eastern United States,Eastern United States
when was president wilson in office?,United States Secretary of Agriculture,1920
what political party is jerry brown?,Democratic Party,Democratic Party
what ocean is around hawaii?,Hawaii–Aleutian Time Zone,Pacific Ocean
what is the most common language spoken in argentina?,Spanish Language,Spanish Language
what language tunisia?,French Language,French Language
what are some inventions that leonardo da vinci invented?,Double hull,Double hull
who wrote st trinians?,Ronald Searle,Ronald Searle
what are malaysian coins called?,Malaysian ringgit,Malaysian ringgit
what type government does mexico have?,Federal republic,Federal government of Mexico
what currency does dominican republic take?,Dominican peso,Dominican peso
what inspired michael jackson to become a singer?,Redd Foxx,Redd Foxx
who is the texas state senator?,Kay Bailey Hutchison,Kay Bailey Hutchison
what to visit in london city?,Regent's Park,Regent's Park
what genre of art is the mona lisa?,Portrait,Portrait
who does peter griffin voice?,Seth MacFarlane,Seth MacFarlane
when did tony romo got drafted?,2002,2002
what does anne frank died of?,Typhus,Typhus
what are the catholic holy days?,Name day,Name day
what language is most commonly spoken in belgium?,French Language,French Language
where did frank baum die?,Hollywood,Hollywood
where is tunis on a map?,Tunisia,Tunisia
who is nicolas cage married too?,Nicolas Cage; Katherine Heigl,Nicolas Cage; Katherine Heigl
who are the members of the supreme court 2009?,John Roberts,John Roberts
who does the voice for chucky in child's play?,Brad Dourif,Brad Dourif
what did mary wollstonecraft fight for?,Women's rights,Women's rights
what is new france?,North America,North America
what year did the phillies begin?,1883,1883
what country is dyson made?,United Kingdom,United Kingdom
what language does iceland speak?,Icelandic Language,Icelandic Language
what was dr seuss real name?,Writer,Theodor Robert Geisel
what did gloria steinem founded?,Coalition of Labor Union Women,Coalition of Labor Union Women
where to eat crawfish in beaumont?,Uzooma Okeke,Uzooma Okeke
what language they speak in scotland?,Scottish English,Scottish English
what boarding school did mark zuckerberg go to?,Phillips Exeter Academy,Phillips Exeter Academy
what are bigos?,Stew,Stew
where are ike and tina turner's children?,Ronnie Turner,Ronnie Turner
what are some of leonardo da vinci most famous inventions?,Double hull,Double hull
when did shaq come into the nba?,1992–93 NBA season,1992 NBA Draft
where do they speak turkish?,Altaic languages,Turkey
what is the zip code for walnut creek?,94597,94597
who will the cavaliers draft 2012?,Dion Waiters,Dion Waiters
who was the voice of darth vader in the original star wars movie?,David Prowse,James Earl Jones
where is english spoken around the world?,the Federation of Free States,Canada
what music did louis armstrong play?,Jazz,Jazz
what form of currency does germany use?,Euro,Euro
where is the latin language from?,Italic languages,Italic languages
what are the top tourist attractions in rome?,Sistine Chapel,Sistine Chapel
who were the children of king solomon?,Absalom,Absalom
what did andy irons die from?,Myocardial infarction,Myocardial infarction
where is auburn university located?,Alabama,Alabama
who is tatyana ali parents?,Sonia Ali,Sonia Ali
where did leif ericson grow up?,Iceland,Iceland
what language do the maasai speak?,Maasai Language,Maasai Language
what political party was hitler in?,German Workers' Party,German Workers' Party
who is the leader of north korea today?,Kim Jong-un,Kim Jong-un
where do the appalachian mountains run through?,Eastern United States,Eastern United States
what money does spain use?,Peseta,Euro
where was terry waite born?,Bollington,Bollington
what country did the battle of san juan hill take place?,Cuba,Cuba
what kind of government does the united states have currently?,Presidential system,Federal republic
when was the last time the orioles won the world series?,1983 World Series,1983 World Series
what did shakespeare learn in grammar school?,"King Edward VI School, Stratford-upon-Avon",william shakespeare performed play by thomas dekker
who did ben stiller date?,Christine Taylor,Christine Taylor
what is the most common language in norway?,Nynorsk,Norwegian Language
what influenced william shakespeare to start writing?,Thomas More,Thomas More
where did benjamin franklin went to school?,Boston Latin School,Boston Latin School
who is the governor of arizona 2009?,Jan Brewer,Jan Brewer
what movies has spike lee made?,Jungle Fever,Jungle Fever
what did bernie mac died of?,Pneumonia,Pneumonia
what countries does the arctic circle run through?,North Greenland,North Greenland
where is electrolux based?,Stockholm,Stockholm
what is houston timezone?,Central Time Zone,Central Time Zone
where do italy people live?,/g/124x8gxxd,Italy
where did russians originate?,East Slavs,East Slavs
what was shakespeare's wife called?,Anne Hathaway,Anne Hathaway
when did truman become president?,United States of America,4/12/1945
what did ferdinand magellan do?,Navigator,Navigator
when was abraham lincoln declared president?,Abraham Lincoln 1861 presidential inauguration,Abraham Lincoln 1861 presidential inauguration
where do burmese cats originate from?,Myanmar,Asia
who played kirk?,Jimmy Bennett,Jimmy Bennett
where is mt st helens located?,Skamania County,Skamania County
what county is st paul minnesota in?,Ramsey County,Ramsey County
who was king henry viii son?,"Prince Henry, Duke of Cornwall","Prince Henry, Duke of Cornwall"
who does david beckham play for?,Midfielder,Paris Saint-Germain F.C.
who won the battle of gettysburg?,Confederate States of America,United States of America
where was franz ferdinand from?,Glasgow,Glasgow
what was benedict arnold most famous for?,Traitor,Traitor
who plays lex luthor on smallville?,Gene Hackman,Michael Rosenbaum
what are dallas cowboys colors?,Blue,Blue
what does bentley mean?,Bentley Motors Limited,Bentley Motors Limited
what is the currency of the czech republic?,Czech koruna,Czech koruna
when was the last time the la kings won a playoff series?,2012 Stanley Cup Finals,2012 Stanley Cup Finals
where did spencer pratt go to school?,University of Southern California,University of Southern California
what disease did abraham lincoln had?,Marfan syndrome,Marfan syndrome
who is vancouver canucks coach?,Alain Vigneault,Alain Vigneault
where did cs lewis wrote?,Belfast,Belfast
what is carlos pena jr nationality?,Dominican Republic,Dominican Republic
what did thomas jefferson do before he became president?,Writer,Statesman
what language do the cheyenne speak?,Cheyenne Language,Cheyenne Language
who was married to jane wyman?,Bing Crosby & Jane Wyman,Bing Crosby & Jane Wyman
who played mickey in the rocky movies?,Ub Iwerks,Wayne Allwine
what language does peru speak?,Omagua Language,Omagua Language
what are some good books like looking for alaska?,Wildest Alaska,Wildest Alaska
where is english spoken in the world map?,the Federation of Free States,Canada
when did arsenal won the league?,2004–05 FA Cup,2004–05 FA Cup
what timezone is phoenix az in right now?,Mountain Time Zone,Mountain Time Zone
where is south portland?,United States of America,United States of America
what countries speak french as a first language?,jansegers,Chad
who was ptolemy and what did he do?,Mathematician,Mathematician
what was the name of henry viii first wife?,Catherine of Aragon,Catherine of Aragon
where does the parana river flow?,Paraguay,Paraguay
what is president nixon's first name?,richard milhous nixon lost election to john fitzgerald kennedy,Richard
where did theodor schwann get his education?,Humboldt University of Berlin,Humboldt University of Berlin
who or what influenced frank lloyd wright?,Louis Sullivan,Louis Sullivan
what year did houston rockets win their first championship?,1994 NBA Finals,1994 NBA Finals
where do most of the people live in russia?,East Slavs,Moscow
where is holy roman empire located?,Rome,Europe
what movies has liam hemsworth played in?,Knowing,Knowing
who plays nicholas newman on the young and the restless?,Joshua Morrow,Joshua Morrow
who is the voice of eric cartman on south park?,Trey Parker,Trey Parker
who is angelina jolies brother?,James Haven,James Haven
where is the headquarters of bank of america?,Charlotte,Charlotte
what type of government japan have?,Parliamentary system,Parliamentary system
who was king after leonidas died?,Pleistarchus,Pleistarchus
what team does josh hamilton play for?,Texas Rangers,Texas Rangers
when was the leafs last in the playoffs?,1967 Stanley Cup Finals,1967 Stanley Cup Finals
where is burundi country?,Africa,Africa
when does the world end according to the mayans time?,The End Of Time,2012
through which countries of the sahel does the niger river flow?,Guinea,Guinea
what did werner heisenberg discover?,Matrix mechanics,Matrix mechanics
what city does paul ryan live in?,Janesville,Janesville
what city is acadia university in?,Canada,Canada
what did f. scott fitzgerald do?,Poet,Poet
what countries does tomtom western europe include?,Russia,Belarus
what is the national language of iran?,Turkmen Language,Persian Language
where did the second battle of ypres occur?,Belgium,Belgium
what languages do people speak in spain?,Spanish Language,Spanish Language
what did michael crabtree do?,Texas Tech University,Wide receiver
where do they speak afrikaans?,Namibia,Namibia
what 3 states border florida?,Alabama,Alabama
who plays ziva david on ncis?,NCIS - Season 3,Cote de Pablo
who ruled after king henry viii died?,England,Edward VI of England
what are some ancient egypt names?,Ancient Egypt,Abdel Hakim Amer
who are the st louis cardinals coaches?,Dave McKay,Dave McKay
where is daud ibrahim?,Maharashtra,Maharashtra
what region is turkey considered?,Europe,Southeastern Anatolia Region
what language do russians speak?,Russian Language,Russian Language
where was martin luther king jr buried?,Memphis,"Martin Luther King, Jr., National Historic Site"
what are the official languages of argentina?,Spanish Language,Yiddish Language
where is the city wales?,United Kingdom,United Kingdom
what country does rafael nadal play for?,Spain,Spain
what is the islamic belief?,Monotheism,God in Islam
who is the prime minister of spain 2011?,Mariano Rajoy,Mariano Rajoy
who was the son of king leonidas?,Pleistarchus,Pleistarchus
who was judi dench married to?,Michael Williams,Michael Williams
how many languages do they speak in spain?,Spanish Language,Basque Language
where are the sahara desert located?,North Africa,North Africa
what is rihanna mum called?,Monica Braithwaite,Monica Braithwaite
what county is san francisco?,Libertarian Party of San Francisco,San Francisco
when did president theodore roosevelt take office?,President of the United States,9/14/1901
who does michael oher play for in 2010?,Baltimore Ravens,Baltimore Ravens
who or what influenced albert einstein?,Hendrik Lorentz,Hendrik Lorentz
where does egypt export to?,Sahara,Sudan
who did messi have a baby with?,Antonella Roccuzzo,Antonella Roccuzzo
where is the seat of the african union?,Addis Ababa,Addis Ababa
what was kim richards in?,The Car,The Car
what ship did darwin sail around the world?,Evolution,HMS Beagle
where did christopher columbus began his journey?,Portugal,Portugal
what artistic style did henri rousseau work in?,Post-Impressionism,Post-Impressionism
what is john edwards indicted for?,Political corruption,Political corruption
where was huey newton killed?,Oakland,Oakland
when was the printing press invented by gutenberg?,This suggests that by 1438 Gutenberg and Dritzehen had in all probability already invented a printing process using moveable type (separate pieces of wood or metal for each letter of the alphabet).,This suggests that by 1438 Gutenberg and Dritzehen had in all probability already invented a printing process using moveable type (separate pieces of wood or metal for each letter of the alphabet).
where is midlothian scotland?,United Kingdom,United Kingdom
where does marta play soccer?,Umeå IK,Umeå IK
where is mitt romney's family from?,Detroit,Detroit
what are john terry's children called?,Georgie John Terry,Georgie John Terry
what city was michael jackson born in?,Gary,Gary
who fought in the battle of vicksburg?,Confederate States of America,Confederate States of America
which city is the oldest in pakistan?,Bahawalpur,Bahawalpur
what kind of writing is nikolai gogol famous for?,Dramatist,Dramatist
what year was first world series?,1903 World Series,1903 World Series
who plays simon birch?,Ian Michael Smith,Ian Michael Smith
where are the timezones in the usa?,North American Eastern Time Zone,Pacific Time Zone
what does gm make?,Hummer,Automobile
what do people speak in uk?,Scottish Gaelic language,Scottish Gaelic language
what do people in jamaica speak?,Jamaican Creole English Language,Jamaican Creole English Language
what position did lebron james play?,Point forward,Point forward
what was wayne gretzky's first team?,Edmonton Oilers,Edmonton Oilers
who is the president of peru now?,Ollanta Humala,Ollanta Humala
what kind of guitar did jerry garcia play?,Fender Stratocaster,Fender Stratocaster
what type of art leonardo da vinci do?,Writer,Sculpture
who are the senators of new jersey now?,Joseph S. Frelinghuysen,Bob Menendez
where was rihanna raised?,Saint Michael Parish,Saint Michael Parish
what team does messi play for 2011?,Argentina national football team,FC Barcelona
who is moira in x men?,Mutant,Olivia Williams
where does lil wayne go to school?,Mcmain Magnet Secondary School,University of Houston
what airport is nearest to rome?,Ciampino – G.B. Pastine International Airport,Ciampino – G.B. Pastine International Airport
where did jrr tolkien go to school?,"Exeter College, Oxford","Exeter College, Oxford"
what state is saint louis university in?,Missouri,Missouri
what religion does canada follow?,Protestantism,Protestantism
what factors led to the rise of the roman empire?,Vitellius,Ulpian
which countries have spanish as their main language?,Spain,Honduras
who is in paul ryan's family?,Elizabeth Ryan,Elizabeth Ryan
what government does iraq use?,Parliamentary system,Prime Minister of Iraq
what type of currency do they use in spain?,Peseta,Euro
what did lincoln steffens wrote?,The shame of the cities,The shame of the cities
what schools did anders celsius attend?,Uppsala University,Uppsala University
what can do in new york?,Chelsea Art Museum,Central Park
what currency does france accept?,French franc,CFP franc
what type of religion did massachusetts have?,Judaism,Judaism
what language do they speak in colombia south america?,Wiwa language,Spanish Language
when was the last tsunami in the atlantic ocean?,Île Saint-Joseph,Île Saint-Joseph
what did martha graham train as?,Screenwriter,Screenwriter
what kind of government does brazil has?,Constitutional republic,Constitutional republic
what did george washington carver made?,Peanut butter,Peanut butter
what country did gregor mendel live in?,Brno,Brno
where laura ingalls wilder lived?,South Dakota,South Dakota
what to do in bangkok in 4 days?,MRT Blue Line,MRT Blue Line
what sports are popular in germany?,Germany women's national volleyball team,Germany women's national volleyball team
what's my timezone in oklahoma?,Central Time Zone,Central Time Zone
what do they speak in norway?,Norwegian Language,Nynorsk
what does ss stand for in hitler's army?,World War II,Schutzstaffel
what currency does singapore use?,Singapore dollar,Singapore dollar
what did the blackfoot indians speak?,English Language,English Language
who plays robin hood in prince of thieves?,Kevin Costner,Kevin Costner
what standard time is texas?,Mountain Time Zone,Central Time Zone
what city is the south rim of the grand canyon near?,Grand Canyon National Park Superintendent's Residence,Phoenix
where does kurdish people live?,Asia,Asia
what instrument does louis armstrong?,trumpet,Trumpeter
who does alyson stoner play in camp rock?,Caitlyn Gellar,Caitlyn Gellar
what religion does madonna practice?,Catholicism,Catholicism
what countries are located near egypt?,Sudan,Sudan
when was michael jordan at his best?,1984 NBA Draft,1995–96 NBA season
what made richard hammond famous?,Top Gear,Top Gear
who originally voiced lois griffin?,Alex Borstein,Alex Borstein
what airport do you fly into in paris?,Paris Orly Airport,Gare du Nord
who plays sheldon cooper mother on the big bang theory?,Jim Parsons,Jim Parsons
what rihanna new album called 2012?,Unapologetic,Unapologetic
where does dave ramsey live?,Nashville,Nashville
what does a dream deferred by langston hughes?,Dreams and Youth,Dreams and Youth
what discovery did galileo make?,Ganymede,Ganymede
what is the government system of saudi arabia?,Absolute monarchy,Absolute monarchy
what was the japanese war called?,Japan,World War II
what did nikola tesla invented that is of use today?,Tesla coil,Tesla coil
who plays the role of tony dinozzo on ncis?,Michael Weatherly,Michael Weatherly
what did jesus do for living?,Preacher,Preacher
what is the state name of new york city?,New York City blackout of 1977,New York
where is the main branch of bank of america?,Charlotte,Charlotte
who plays knox overstreet?,Josh Charles,Josh Charles
where did sally pearson go to primary school?,Helensvale State High School,Helensvale State High School
what movies did david carradine play in?,Kill Bill Volume 2,Kill Bill Volume 2
what is the stanley cup named after?,Chicago Blackhawks,"Frederick Stanley, 16th Earl of Derby"
when do they change the time in california?,Pacific Time Zone,Pacific Time Zone
where is traditional chinese used?,Standard Mandarin,Canada
who does portugal trade with?,Angola,Angola
what type of political system is brazil?,Constitutional republic,Constitutional republic
what language did the ancient babylonians speak?,Akkadian language,Akkadian language
what kind of painter was wassily kandinsky?,Abstract art,Abstract art
what form of government does the united states use?,Presidential system,Presidential system
what money does cuba use?,Cuban peso,Cuban peso
who is my representative in illinois house?,Dick Durbin,Richard B. Ogilvie
what timezone is sweden gmt?,Central European Time,Central European Time
what was franklin d roosevelt's job before president?,Governor of New York,Governor of New York
where did robert downey jr go to jail?,"California Substance Abuse Treatment Facility and State Prison, Corcoran","California Substance Abuse Treatment Facility and State Prison, Corcoran"
what degrees did barack obama get?,Political Science,Juris Doctor
what does god shiva represent?,Hinduism,Hinduism
what inventions were made by ben franklin?,Lightning rod,Lightning rod
what is the name of the currency used in switzerland?,Swiss franc,Swiss franc
what year did the milwaukee brewers go to the world series?,Seattle Pilots,1974 Major League Baseball Season
who was vice president with bill clinton?,Al Gore,Al Gore
what songs did franz liszt compose?,La lugubre gondola,La lugubre gondola
where did the russian japanese war happen?,Yellow Sea,Yellow Sea
what year did the la kings win the cup?,2012 Stanley Cup Finals,2012 Stanley Cup Finals
what kind of money does egypt have?,Egyptian pound,Egyptian pound
what baseball team was jackie robinson on?,Brooklyn Dodgers,Brooklyn Dodgers
what body of water does st lawrence river flow into?,Gulf of Saint Lawrence,Gulf of Saint Lawrence
what form of government does the united states have?,Presidential system,Presidential system
what are the names of ariel's six sisters?,Aquata,Aquata
what voices does seth macfarlane play on family guy?,Peter Griffin,Peter Griffin
who was william mckinley married to?,Ida Saxton McKinley,Ida Saxton McKinley
who played darth vader in the first movie?,David Prowse,David Prowse
where did kevin james go to college?,SUNY College at Cortland,SUNY College at Cortland
what year was hitler was born?,Austria,"Adolf Hitler was born in 1889 at Braunau am Inn, Austria, the son of a 52- year-old Habsburg customs official, Alois Schickelgruber Hitler, and his third wife, a young peasant girl named Klara Poelzl."
what did canada get gold medals in?,Émilie Heymans,Diving at the 1984 Summer Olympics - Women's 3 metre springboard
what's there to see in atlanta?,Atlanta History Center,Atlanta History Center
where was auschwitz concentration camp located?,Poland,Poland
with which ancient ruler did julius caesar fall in love?,Cornelia Cinna minor,Cornelia Cinna minor
what kind of currency does dominican republic use?,Dominican peso,Dominican peso
what did elliot stabler do?,Law & Order: Special Victims Unit,Law & Order: Special Victims Unit
what is spoken in czech republic?,Greek Language,Greek Language
where was shakespeare born at?,United Kingdom,Stratford-upon-Avon
where did scott fitzgerald go to college?,Princeton University,Princeton University
what did joan crawford died of?,Myocardial infarction,Myocardial infarction
